what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1484793413771
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1484793415072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484793420110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484793437043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484793437166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484793437200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484793439607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484793465338
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484793468016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484793504292
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1484793505219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484793535167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484793539882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484793547625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484793550786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484793553399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484793591658
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1484793610320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484793618292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484862178147
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1484862181737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1484862197553
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1484862207059
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1484862207278
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1484862207835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1484862209108
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484862218919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484862218957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484862218986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484862220158
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.DebugLast",1484862220173
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1484862225611
