what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1484774743961
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1484774743981
executed,command,,,"com.altera.sbtgui.ui.cPerspective",1484774743981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484774818901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484774843858
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1484774843868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484774849670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484774944251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1484774956324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1484774964879
error,log,,,"Internal Error",1484774970588
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1484774970661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484774970703
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1484774970903
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1484774971236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484774972550
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1484774972584
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1484774972587
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1484774972725
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1484774976254
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1484774978404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484774979862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775008929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775012790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775187426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775190181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775316492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775324952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775329129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775332407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775386869
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1484775394996
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1484775395022
executed,command,,,"com.altera.sbtgui.ui.cPerspective",1484775395022
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1484775401537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1484775413539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1484775432483
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1484775434184
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1484775434357
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1484775434530
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1484775434828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1484775438927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1484775450772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775457110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775486714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1484775490369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1484775501862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1484775519297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775531836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775533279
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1484775533316
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1484775533321
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1484775534536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775537968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775540038
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1484775540160
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1484775544686
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1484775546167
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1484775549180
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1484775549187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1484775549211
executed,command,,,"com.altera.sbtgui.ui.cPerspective",1484775549211
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1484775557104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775557128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775558655
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1484775569540
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1484775569752
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1484775570118
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1484775570344
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1484775570548
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1484775571029
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1484775571326
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1484775573394
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1484775579813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775580127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775583285
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1484775592826
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1484775593210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775599142
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1484775599263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775600941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775600952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775602453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775602464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775603052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775603065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775603573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775603583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775604101
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1484775605628
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1484775606917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775611568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775868091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775873766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775958611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484775959677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1484776019397
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1484776079052
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1484776085983
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1484776089067
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1484776092915
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1484776100024
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1484776100330
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1484776100504
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1484776100648
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1484776100814
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1484776100952
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1484776101110
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1484776101270
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1484776101427
